X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	
0.393071574778732	3.21264499527645	0.930912277314553	5.4672382416165	0.547632317799943	5.96765234544848	0.170351631281945	1.70212894509679	0.394349226623408	3.58287247298728	0.897691715937316	8.26751244788959	0.576722084167436	5.03963775264306	1.06186607987964	14.2827128566747	0.826832361847892	15.9043894977087	1.18725882283538	26.6811387979071	1.80176968102921	48.4423237195625	1.44179964152861	51.7232627487868	2.04971754529009	73.3755815381606	
0.40069398988134	3.29509963550364	0.936667869996231	5.56872818304213	0.55621954584225	6.09036992130907	0.182959639956171	1.84853843480771	0.404492138735816	3.78068956939139	0.914602033060069	8.49861268322316	0.591297144556137	5.3084085873467	1.07549367060095	14.581077861765	0.835423249658812	16.2337992080266	1.20320682486004	27.2744601676264	1.81550807115593	49.4380416149831	1.46414431439165	52.8671562706819	2.07070532428983	74.9735000323053	
0.408411892335254	3.37765020195147	0.942432690384984	5.66889052420071	0.56486143543304	6.21444257145136	0.196541609535624	2.00057462600124	0.414636876514056	3.97389242831872	0.930888940457618	8.72922397422827	0.605163382531799	5.57589233431336	1.08865810080951	14.881719950442	0.844016422102966	16.5630999536085	1.21886638574703	27.8690947021136	1.82885387957294	50.4305594861894	1.48668032732678	54.0075879503163	2.09111923522811	76.5711875584623	
0.416260965511805	3.46043965262834	0.947902044763	5.76785518458522	0.573678812239438	6.33896784434341	0.210528662817584	2.14902522545281	0.424899398029957	4.17160102564804	0.9460059835078	8.96237684441879	0.619043295570878	5.84304965273311	1.10141332880923	15.1816579592861	0.852909469561177	16.8904356086513	1.234674319068	28.46248126441	1.84204601132464	51.4227979606365	1.50921996692517	55.1481327856381	2.11111818710344	78.1711698633342	
0.42393091833681	3.54272805178386	0.953347680613436	5.86753649765685	0.58233724245971	6.463616983132	0.224766176278533	2.29853194465383	0.435113201910511	4.37445378297391	0.960046223478251	9.1951432157592	0.632841900382954	6.1092914811055	1.11420733680748	15.4803312321339	0.861562737573671	17.2190471755607	1.25044203494644	29.0578645822116	1.85478676063934	52.4177670727427	1.53146992739042	56.293275793123	2.13085482847088	79.7658175527521	
0.431628722415867	3.62389979522546	0.958794207611522	5.96740128126697	0.590873760770594	6.58638857569935	0.237906007120618	2.44953751105218	0.445173534994614	4.57496845508726	0.973046070518251	9.4272194771046	0.646452696494417	6.37551375170476	1.12676208986342	15.7795828562731	0.869656577308723	17.5485490868092	1.26615644504341	29.6519775760818	1.86721378084726	53.4122705235837	1.55366205547104	57.4346660364718	2.15016149841422	81.3673644794751	
0.439479428698571	3.70627434171504	0.964235266791476	6.06737456395188	0.599540014828109	6.71010639195756	0.250185887064412	2.60077963337324	0.455173848692563	4.77541048404324	0.985273731688184	9.65954440156561	0.660183445184279	6.64274324762062	1.13903099840799	16.0769187499673	0.87825210730867	17.8770116421137	1.28177846120321	30.2446190803539	1.87961899404392	54.4065653581779	1.57582222522907	58.5773163592041	2.16902161964771	82.9778744542305	
0.447529273971916	3.78905238369091	0.969613113714623	6.16737159536131	0.608942938827426	6.83403189314005	0.262473638986093	2.75288276337365	0.465300758733141	4.97408672548162	0.996692275594984	9.89308656457383	0.67372368900631	6.9096300168453	1.15101681784052	16.3720697610052	0.887044497277241	18.2059305454581	1.29746311217071	30.8384638533353	1.89169750008383	55.4028457724069	1.59806422883511	59.7201734355382	2.18755932027633	84.583884278519	
0.45543727236738	3.87148746614497	0.974880013366613	6.26725779938963	0.618842536668096	6.95706006506452	0.274614108388957	2.90442966099278	0.475737941733679	5.17368404490255	1.00756378004397	10.126412660755	0.686621001982385	7.17569768790451	1.16311843661842	16.673380539259	0.894990986017982	18.5355609792158	1.31295297406429	31.433880698748	1.90344148604371	56.3973864761491	1.62038457271191	60.8617932498907	2.20566750471133	86.1922410355841	
0.463154043261452	3.95398494720856	0.980116472559733	6.3668678662877	0.628318506523569	7.08039650474654	0.2859569005518	3.05648040410085	0.485990592862988	5.37232582740731	1.0176081051132	10.3596782209717	0.699333561153059	7.44302916363744	1.17501081815646	16.9752258966453	0.903311490913762	18.8630530964437	1.32834158500911	32.0299941734134	1.91487640957963	57.3902694257873	1.64227034954171	62.0107937952965	2.22350653384823	87.8000464497112	
0.470828243263742	4.03700257190538	0.985326097374997	6.46652077402215	0.637466334534429	7.20414924559965	0.297348184868057	3.20791554301633	0.496059251284079	5.57144165308003	1.02708406556219	10.5922480832582	0.711877387030349	7.71058089714881	1.18669796923721	17.2739177959437	0.912255430587323	19.1907836322394	1.34369932081771	32.6256308109433	1.92622915709962	58.3863673008003	1.66380162134297	63.1578152803252	2.24099803989568	89.4088129886897	
